id_covid;edad;basica;recargo_edad;recargo_giro;recargo_total;basica_recargada
1;interfaz RSS;75809;52169;76585;65179;83154
2;Martinica Normas;20169;844;66914;18101;40833
3;Cantabria Borders Rupee;74038;76823;23691;3424;69354
4;microchip Netherlands Genérico;63501;95309;94482;84568;38528
5;interactive global;27554;5971;96204;1452;70606
6;objetos;24580;86168;46911;88366;59553
7;open-source Administrador Ingeniero;67557;26928;19187;46959;35155
8;Planificador Malawi Avon;27028;2539;40606;77167;64855
9;Total;12106;72640;19221;47285;69414
10;Sabroso Berkshire e-business;23533;21574;51333;62001;8934
