id_covid_tarifas;edad;qxcnsfg;titular;conyuge;hijo_mayor;hijo_menor;qx_titular;qx_conyuge;qx_hijo_mayor;qx_hijo_menor;qx_titular_recargada;qx_conyuge_recargada;qx_hijo_mayor_recargada;qx_hijo_menor_recargada;valor_gff;valor_gff_covid
1;Peso interface Bajada;6827;Borders Cuesta quantifying;indexing Teclado escalable;B2C Credit;SMS microchip;95017;21179;33474;75945;60330;13565;6379;28680;46253;98066
2;Market Gorro invoice;66572;hibrida;Interacciones Increible Cliente;móbil Global Seguridada;Plástico;4643;42028;39017;66522;33620;48665;99951;11526;39916;74147
3;Pollo;58854;Raton Pequeño generate;flexibilidad;International deposit Ladrillo;Lado;69683;91015;33708;93755;68541;93155;96131;49654;60342;26375
4;Director Ensalada haptic;24314;Morado Verde;copy;Futuro Loan SMTP;RSS capacidad;65810;66760;2893;97567;85509;2559;48921;32842;73122;41063
5;Mauritania Relacciones;74925;Plástico;blockchains Extremadura;Pasaje synthesizing;Canarias de;22880;76754;16734;36465;70474;45483;22928;83819;72330;33749
6;Ergonómico synthesizing Kyat;67941;solutions;blockchains;Gerente Música;index;50289;26761;57132;39000;31527;11673;1861;80085;34753;87790
7;array hacking;26060;Investment Juguetería;Violeta Atún;Armenia orchestrate Fundamental;sistemática Re-implementado array;53325;93539;9215;24031;37799;80765;13136;28015;27543;80974
8;secundaria invoice B2C;97503;generación XSS networks;Macao quantifying Marroquinería;utilización;Andalucía;96051;74188;59749;35878;58553;35868;89126;14432;94703;57430
9;Raton;87821;Corporativo;HDD Account;Ergonómico platforms synthesize;GB;50257;9613;78203;13327;44799;82440;9337;72641;70777;61443
10;array Increible invoice;91214;Mauritius Granito;Cliente Práctico;Rústico;Moda;89609;71406;84924;13420;74699;39391;10037;93442;88051;6229
