id_cuota_propuesta;edad;valor_vg;valor_bip_tres;valor_bit;valor_di
1;state;53557;81275;51636;53529
2;Inversor Canadian;56119;40092;21036;91563
3;paralelismo;78984;40043;89629;10627
4;Toallas;9184;67330;28813;75627
5;Arrabal copy Acero;54900;96093;69073;35262
6;Director Operaciones Cambridgeshire;65222;4506;15045;88964
7;producto Dollar ejecutiva;8062;33216;54550;12608
8;Berkshire Intercambiable;73927;60138;21240;26199
9;generación Administrador;9409;66726;41745;37470
10;Zapatos;58551;11847;98150;69936
