id_cuota_riesgo;edad;valor_ba;valor_ba_covid;valor_bip_tres;valor_bip_seis;valor_bit;valor_ma;valor_di;valor_ti;valor_gff;valor_gff_covid;valor_ca;valor_ge;valor_iq_uno;valor_iq_dos
1;International customized;94038;12980;32;6810;45448;78816;61803;60173;57823;66049;19535;28960;40811;12214
2;La Planificador;58132;61744;53622;49469;47355;99164;13182;8835;27193;81617;4233;87556;80074;9421
3;fritas;20131;76010;64849;93605;52795;11741;37429;40898;23415;66015;68027;76910;64379;99188
4;granular;78067;59167;60752;46576;28021;41207;65865;5036;50798;84997;81797;83786;35046;50439
5;Mascotas Seguro hacking;19693;11977;57115;74838;26536;91083;14969;27389;7202;72494;84627;21574;25385;1297
6;Account;11973;2990;46097;80155;18955;48371;38624;78298;18373;11174;40330;42365;58773;12858
7;generación pixel Iranian;78329;75493;75217;86740;29319;2341;23718;9271;21972;38748;83027;7582;81043;96952
8;Sabroso;15382;59358;65860;58154;54117;30231;33785;15084;94411;4457;44045;10064;27381;52469
9;mesh Patatas;35192;13044;44302;11184;63498;36659;48676;19687;67776;34321;51557;57688;39639;92356
10;Cantabria;77988;92166;58378;96368;45651;84287;4887;77061;83998;18930;16785;6754;86100;15438
