id_cuota_tarifa_sdesc;edad;valor_ba;valor_ba_covid;valor_bip_tres;valor_bip_seis;valor_bit;valor_ma;valor_di;valor_ti;valor_gff;valor_gff_covid;valor_ca;valor_ge;valor_iq_uno;valor_iq_dos
1;calculating;57380;625;77126;66292;61433;91932;25413;50561;15254;81472;25751;96355;15626;25470
2;Comunidad;62131;89575;46799;28702;49423;65158;79222;44342;43128;86120;8255;58499;56660;60516
3;FTP Mancha;11904;26969;79803;68104;45084;32880;80774;29640;75131;52841;9773;24756;92618;37567
4;Sierra invoice;55705;34862;32893;70703;9539;49663;86908;69242;91650;31007;27188;48399;199;73564
5;Acero;51518;76488;22110;67237;97310;74347;49889;21870;62430;33812;3411;2377;85923;61164
6;synthesize medición Guapa;13295;22530;91415;35601;31289;74814;97805;16402;62916;23422;95081;15719;86516;53405
7;Algodón Senior;88332;42042;56854;74044;6921;25885;24840;73301;69815;74434;40123;22445;88224;26400
8;Cambridgeshire Ladrillo Ingeniero;82783;13485;64715;45718;60697;73343;47159;52749;97802;32746;57476;13579;39910;96587
9;SMTP;33117;37737;24303;20274;55018;9469;23503;1248;67230;65938;64296;98716;67693;6464
10;methodologies;35826;14903;72472;20596;80360;88758;13410;26274;22617;46829;56169;3650;56595;14851
