id_descuento_suma_asegurada;min_suma;max_suma;porcentaje
1;Global;content invoice;54969
2;Avon deposit fidelidad;Identidad;61046
3;transmitting Lanka;hard driver bypassing;17862
4;primary Cambridgeshire;en Cine Tajikistan;18275
5;Borders withdrawal vertical;Electrónica;26139
6;interface optimizada;Genérico;27280
7;Rojo algoritmo;optical web-enabled;42299
8;digital mano Mesa;Canarias;85856
9;Coordinador open-source;Descentralizado reintermediate Patatas;1806
10;Nacional;Bedfordshire Principado Galicia;39378
