id_edad_recargo;edad_min;edad_max;recargo_anterior;recargo_actual
1;Analista Inversor;Coordinador UIC-Franc;186;71996
2;COM Increible;invoice Programa Programa;63374;24927
3;Salida hibrida;Baht Calidad complejidad;13934;98009
4;Home;migración Raton;75070;42367
5;1080p Nigeria;Canadian Account Sorprendente;9139;43889
6;Guapa enterprise bidireccional;discreta Rojo;36238;34406
7;hard Baleares Botswana;Acero Escalinata Genérico;83531;62722
8;Account;Zapatos;70636;60342
9;Cantabria;Violeta Granito Violeta;15462;55325
10;Morado ADP;Amarillo Salud Account;74808;86765
