id_factor_sami;min_asegurados;max_asegurados;factor
1;bluetooth;withdrawal Perú intermedia;Subida
2;neutral;Borders Zapatos;Artesanal Taka Latvian
3;Hormigon;Cataluña;analizada
4;embrace Total content;Verde AI Técnico;Buckinghamshire País Pizza
5;Madera Muelle Madera;Madera;Cedi iniciativa
6;Madera override cross-media;Madera navigating Kroon;Galicia Investigación Hormigon
7;Calle Tanzanian;Granito;Nacional Hormigon
8;invoice Región;Versatil parsing;Seguro
9;Futuro Paseo programming;solid Franc Pasaje;Adelante SAS Acero
10;Lugar Pequeño;Refinado strategic;Gris Violeta synthesize
