id_prima_neta_sdesc;prima_neta_sdesc;margen_min;margen_max;max_com_sd;max_com_ep
1;Pollo feed scale;13617;32170;15432;41802
2;bypassing ábanico;72719;9477;74988;86233
3;Madera;21351;88445;99027;1913
4;algoritmo Violeta;11620;65275;35850;91640
5;Deportes;79821;26875;48212;21525
6;Buckinghamshire SMS;89941;23286;29355;71875
7;Tugrik Sorprendente segura;99964;12612;65723;43891
8;Supervisor Amarillo;77053;17662;99009;16597
9;payment;78841;30823;91086;564
10;Pescado Pasaje program;98639;31015;97315;55134
