id_referencia;periodo;referencia;edadpromedio;cuota
1;global;COM Ladrillo;compressing;Interno back-end generating
2;Funcionario;Pelota Borders;Soporte hack Sabroso;THX funcionalidad
3;drive withdrawal;Inversor Práctico;haptic;systems
4;añadido program migración;synergies Ladrillo Distribuido;Ensalada Universal;Normas
5;Escalinata;Deportes instalación;Bangladesh Productor;Virtual JBOD
6;Valenciana action-items;Coche Analista Iran;Infraestructura Metal;Cambridgeshire conocimiento
7;Relacciones;Asturias 6th;Principado;bandwidth Guarani Bedfordshire
8;Joyería Toallas syndicate;up Deportes HDD;Algodón Rústico Metal;Auto
9;Ferrocarril;mano withdrawal;Actualizable Franc;clicks-and-mortar Ngultrum
10;cross-platform Corporativo;Pollo Andalucía invoice;overriding;invoice quantifying
