id_tipo_producto;tipo_producto;registro;fecha
1;Investment Acero;web withdrawal;2021-09-30
2;Sección;multiestado;2021-09-30
3;Queso Subida generate;capa;2021-10-01
4;Reducido solid navigate;compress Morado;2021-09-30
5;Rojo;Sorprendente port;2021-09-30
6;Directo Cambridgeshire group;parsing;2021-09-30
7;solución Aldea;Account navigate escalable;2021-10-01
8;models;Pollo withdrawal maximizada;2021-09-30
9;jerarquía ROI engage;JBOD Técnico paradigma;2021-09-30
10;Som users neural;Violeta;2021-10-01
