id_cotizacion_info;numero;cotizacion;region;fecha_solicitud;responsable;fecha_entrega;contratante;tipo_uno;tipo_dos;poliza;inicio_vigencia;fin_vigencia;intermediario;rfc;ejecutivo;suscriptor;jhi_plan;ocupacion;prima_covid_vida;prima_covid_gff;descuento_prima_covid;extra_prima_vida;extra_prima_gff;porcentaje_extra_prima_vida;porcentaje_extra_prima_gff;valor_ftr;sami;sami_min;sami_max;margen;margen_min;margen_max;comision;comision_min;comision_max;descuento;descuento_min;descuento_max;primaneta;prima_neta_min;prima_neta_max;derecho_poliza;derecho_poliza_min;derecho_poliza_max;mayores;mayores_min;mayores_max;asegurados;asegurados_min;asegurados_max;sa_promedio;sa_promedio_min;sa_promedio_max;var_sa;var_sa_min;var_sa_max;sa_total;sa_maxima;sa_maxima_min;sa_maxima_max;subgrupos;subgrupos_min;edad_media_min;edad_actuarial;edad_actuarial_min;edad_act_pond;edad_act_pond_min;edad_min;edad_min_dos;edad_max_dos;edad_max_tres;coeficiente_variacion;factor_tr_uno_giro;factor_sa_prom;p_neta_global_sdmc;p_neta_global_cdmc_cuota;p_neta_global_smccdesc;p_neta_global_smccdesc_cuota;p_neta_basica_sdmc;p_neta_basica_sdmc_cuota;p_neta_basica_cdmc;p_neta_basica_cdmc_cuota
1;70308;77346;13493;2021-10-15;22057;2021-10-15;32992;56025;58104;21429;2021-10-15;2021-10-15;Rústico Madera navigating;Caserio Rústico;73972;69353;31489;13927;1940;4799;22820;45839;89997;23312;66270;3145;59924;58942;27149;75779;78422;15257;65735;48498;11268;79071;44732;37921;89100;12604;8730;25993;25973;81670;684;24776;2635;21566;67372;36399;61731;62048;2522;88434;62668;91987;19236;31029;51870;61767;13309;72880;32738;90586;28214;63137;22554;3593;49694;24358;18210;19998;92067;55050;32640;45927;81127;67298;29216;41761;37376;14953
2;99388;91043;55611;2021-10-15;48996;2021-10-15;55124;12010;3380;96612;2021-10-15;2021-10-15;invoice Ferrocarril Bebes;SQL;38277;72320;34885;83612;78314;81449;49897;63207;93938;26177;55782;46605;93311;5126;20796;34548;64241;30587;682;24555;76542;39781;92918;37317;58838;66665;31733;95308;25030;11638;8421;96782;78687;36654;53496;96759;40522;49808;9825;81566;71425;68532;52687;51405;91004;65213;60628;50039;33953;11875;58352;84552;47817;95673;55828;93311;59620;81680;19567;87568;95911;2493;65277;34562;97801;17896;35476;23574
3;44741;20803;8322;2021-10-15;83984;2021-10-15;21807;6285;91926;10501;2021-10-15;2021-10-15;Perseverando proyección Metal;Hecho Técnico;92847;74116;95360;26779;49247;39979;26621;32315;49860;7314;32444;8133;92596;16039;89787;15781;66476;47403;4799;84947;30668;50916;84445;14064;59336;32304;62516;44499;37226;51098;90900;3427;21308;21876;32314;84392;59038;81331;30546;90623;31985;16832;46046;40438;30384;1164;31637;55298;12872;29161;13080;28824;85449;84871;93358;97848;16220;6318;5022;75539;12213;12486;42325;93243;41956;4454;7583;41459
4;34347;83542;67207;2021-10-15;7174;2021-10-15;29726;42342;28378;82527;2021-10-15;2021-10-15;seize cross-platform;virtual Extremadura Borders;3497;17896;28598;54737;93658;47763;14127;83829;37876;55566;85521;62444;1965;55245;82051;38038;51978;15743;61349;53611;79530;62428;15944;98576;78505;4819;17523;94984;6954;49748;21203;88290;48738;28135;71601;88969;62712;38144;37750;99557;92362;66946;41459;791;53311;25819;5146;29988;34567;81715;97775;85412;16779;95661;66086;16330;17581;73576;25277;12550;83320;71342;96628;48928;53372;77879;92290;31021
5;42119;67704;56680;2021-10-15;81228;2021-10-15;70227;74556;88359;31222;2021-10-15;2021-10-15;evolve Rústico;productize Monetary;67518;9495;17408;37645;85461;30054;53909;38807;69630;37285;34483;39747;31288;39521;87023;54571;71517;77093;88313;3350;14314;6629;5287;39614;55246;83451;31934;15879;2034;5018;56025;68216;11324;80940;93658;5558;16739;70294;38054;2267;91939;59673;52429;82083;22662;42115;24163;92662;25771;67107;28772;74903;60972;80560;72689;44029;84132;44957;43484;57213;32282;36087;26630;63504;30513;44829;26775;39825
6;65990;66880;87360;2021-10-15;67408;2021-10-16;92634;63409;15540;42937;2021-10-15;2021-10-15;concepto previsión Queso;Videojuegos Glorieta;76057;29047;26518;38125;1780;34185;85515;47452;72583;46216;67700;71924;73233;45981;21071;55400;84683;74689;64713;37977;19203;6232;65035;65743;4053;71248;41259;79166;85193;37452;5816;31048;62459;12280;15613;65724;62542;85622;81487;96165;10741;95680;84521;48711;90509;44796;69745;24496;78617;2848;14496;31183;95762;95437;9907;90991;93713;30268;97870;52198;52449;84940;1736;97094;70580;21102;54894;45216
7;31942;92086;26516;2021-10-16;54508;2021-10-15;1885;21575;89112;12129;2021-10-15;2021-10-15;Nueva bus;Borders Account Amarillo;4250;72704;94621;1531;77577;9679;20770;70373;43682;9749;26085;8974;58014;61681;56721;94652;68295;46066;78646;74445;99418;29071;69353;21641;52798;49110;32529;87529;16307;56868;98654;73074;43370;9983;19461;92142;60825;64794;46376;65740;6252;24090;88758;85651;78361;17243;1315;82656;59572;80382;48524;66253;57746;17328;74403;39637;42383;19594;32760;41425;85798;93790;67625;18623;21182;73802;16973;72790
8;69735;63566;98566;2021-10-16;49805;2021-10-15;29996;37721;14889;83413;2021-10-15;2021-10-15;Guantes withdrawal Galicia;Explanada Técnico;70671;70247;67511;96513;27901;7597;47238;59669;43178;17330;20265;41229;26747;3651;6516;3328;3940;18084;29801;38328;12508;69667;88617;660;8468;38566;14312;8267;27088;83282;13007;75858;74612;41534;40468;35091;98805;52475;21354;99177;23518;86107;90560;66703;41947;27693;59133;54954;29588;85259;48721;84190;26877;75093;44496;27498;5064;61903;56974;40576;10912;85376;67243;28222;87126;21515;7873;30218
9;68984;99448;84850;2021-10-15;11868;2021-10-15;52500;70731;84381;79939;2021-10-15;2021-10-15;Estratega Funcionario drive;secundaria;63657;60111;5082;90773;92525;273;13560;28349;420;51696;85114;74378;32568;21006;81173;29036;87759;71935;9231;2406;77280;43842;8440;38904;79453;30049;491;67773;99224;94555;9990;64613;19463;86898;41777;29378;52757;11069;70931;18334;10618;92286;93812;46724;28998;79302;56523;12933;9529;51820;32926;17359;20848;41196;62655;71961;97531;45417;68173;99219;18236;37117;74236;11030;69195;63958;23188;49656
10;26608;28797;43182;2021-10-16;74125;2021-10-15;68289;26837;6805;18431;2021-10-15;2021-10-15;hacking online hack;Som;66363;73390;82507;30423;60450;5733;28406;55511;77507;15952;22389;90883;14465;75508;17626;45909;71445;24180;4717;56907;18424;64940;94471;52560;46692;82920;75252;82308;48920;93311;59946;34249;60064;83540;43159;11509;51949;96875;4426;98644;30923;47994;46574;39882;31948;84956;98730;74854;20602;61004;51579;87812;73676;9925;98465;95627;13338;75046;40662;8625;54690;8042;45135;1231;54591;78451;55744;66578
